c_Municipio,c_Estado,Descripción,Fecha de inicio de vigencia,Fecha de fin de vigencia
015,JAL,Autlán de Navarro,01/01/2022,
015,MEX,Atlautla,01/01/2022,
015,MIC,Coalcomán de Vázquez Pallares,01/01/2022,
015,MOR,Miacatlán,01/01/2022,
015,NAY,Santiago Ixcuintla,01/01/2022,
015,NLE,Doctor Coss,01/01/2022,
015,OAX,Coatecas Altas,01/01/2022,
015,PUE,Amozoc,01/01/2022,
015,QUE,San Joaquín,01/01/2022,
015,SIN,Salvador Alvarado,01/01/2022,
015,SLP,Charcas,01/01/2022,
015,SON,Bavispe,01/01/2022,
015,TAB,Tacotalpa,01/01/2022,
015,TAM,Gustavo Díaz Ordaz,01/01/2022,
015,TLA,Ixtacuixtla de Mariano Matamoros,01/01/2022,
015,VER,Angel R. Cabada,01/01/2022,
015,YUC,Cuzamá,01/01/2022,
015,ZAC,El Plateado de Joaquín Amaro,01/01/2022,
016,COA,Lamadrid,01/01/2022,
016,CHH,La Cruz,01/01/2022,
016,CHP,Catazajá,01/01/2022,
016,CMX,Miguel Hidalgo,01/01/2022,
016,DUR,Nombre de Dios,01/01/2022,
016,GRO,Coahuayutla de José María Izazaga,01/01/2022,
016,GUA,Huanímaro,01/01/2022,
016,HID,Cuautepec de Hinojosa,01/01/2022,
016,JAL,Ayotlán,01/01/2022,
016,MEX,Axapusco,01/01/2022,
016,MIC,Coeneo,01/01/2022,
016,MOR,Ocuituco,01/01/2022,
016,NAY,Tecuala,01/01/2022,
016,NLE,Doctor González,01/01/2022,
016,OAX,Coicoyán de las Flores,01/01/2022,
016,PUE,Aquixtla,01/01/2022,
016,QUE,San Juan del Río,01/01/2022,
016,SIN,San Ignacio,01/01/2022,
016,SLP,Ebano,01/01/2022,
016,SON,Benjamín Hill,01/01/2022,
016,TAB,Teapa,01/01/2022,
016,TAM,Hidalgo,01/01/2022,
016,TLA,Ixtenco,01/01/2022,
016,VER,La Antigua,01/01/2022,
016,YUC,Chacsinkín,01/01/2022,
016,ZAC,General Pánfilo Natera,01/01/2022,
017,COA,Matamoros,01/01/2022,
017,CHH,Cuauhtémoc,01/01/2022,
017,CHP,Cintalapa,01/01/2022,
017,CMX,Venustiano Carranza,01/01/2022,
017,DUR,Ocampo,01/01/2022,
017,GRO,Cocula,01/01/2022,
017,GUA,Irapuato,01/01/2022,
017,HID,Chapantongo,01/01/2022,
017,JAL,Ayutla,01/01/2022,
017,MEX,Ayapango,01/01/2022,
017,MIC,Contepec,01/01/2022,
017,MOR,Puente de Ixtla,01/01/2022,
017,NAY,Tepic,01/01/2022,
017,NLE,Galeana,01/01/2022,
017,OAX,La Compañía,01/01/2022,
017,PUE,Atempan,01/01/2022,
017,QUE,Tequisquiapan,01/01/2022,
017,SIN,Sinaloa,01/01/2022,
017,SLP,Guadalcázar,01/01/2022,
017,SON,Caborca,01/01/2022,
017,TAB,Tenosique,01/01/2022,
017,TAM,Jaumave,01/01/2022,
017,TLA,Mazatecochco de José María Morelos,01/01/2022,
017,VER,Apazapan,01/01/2022,
017,YUC,Chankom,01/01/2022,
017,ZAC,Guadalupe,01/01/2022,
018,COA,Monclova,01/01/2022,
018,CHH,Cusihuiriachi,01/01/2022,
018,CHP,Coapilla,01/01/2022,
018,DUR,El Oro,01/01/2022,
018,GRO,Copala,01/01/2022,
018,GUA,Jaral del Progreso,01/01/2022,
018,HID,Chapulhuacán,01/01/2022,
018,JAL,La Barca,01/01/2022,
018,MEX,Calimaya,01/01/2022,
018,MIC,Copándaro,01/01/2022,
018,MOR,Temixco,01/01/2022,
018,NAY,Tuxpan,01/01/2022,
018,NLE,García,01/01/2022,
018,OAX,Concepción Buenavista,01/01/2022,
018,PUE,Atexcal,01/01/2022,
018,QUE,Tolimán,01/01/2022,
018,SIN,Navolato,01/01/2022,
018,SLP,Huehuetlán,01/01/2022,
018,SON,Cajeme,01/01/2022,
018,TAM,Jiménez,01/01/2022,
018,TLA,Contla de Juan Cuamatzi,01/01/2022,
018,VER,Aquila,01/01/2022,
018,YUC,Chapab,01/01/2022,
018,ZAC,Huanusco,01/01/2022,
019,COA,Morelos,01/01/2022,
019,CHH,Chihuahua,01/01/2022,
019,CHP,Comitán de Domínguez,01/01/2022,
019,DUR,Otáez,01/01/2022,
019,GRO,Copalillo,01/01/2022,
019,GUA,Jerécuaro,01/01/2022,
019,HID,Chilcuautla,01/01/2022,
019,JAL,Bolaños,01/01/2022,
019,MEX,Capulhuac,01/01/2022,
019,MIC,Cotija,01/01/2022,
019,MOR,Tepalcingo,01/01/2022,
019,NAY,La Yesca,01/01/2022,
019,NLE,San Pedro Garza García,01/01/2022,
019,OAX,Concepción Pápalo,01/01/2022,
019,PUE,Atlixco,01/01/2022,
019,SLP,Lagunillas,01/01/2022,
019,SON,Cananea,01/01/2022,
019,TAM,Llera,01/01/2022,
019,TLA,Tepetitla de Lardizábal,01/01/2022,
019,VER,Astacinga,01/01/2022,
019,YUC,Chemax,01/01/2022,
019,ZAC,Jalpa,01/01/2022,
020,COA,Múzquiz,01/01/2022,
020,CHH,Chínipas,01/01/2022,
020,CHP,La Concordia,01/01/2022,
020,DUR,Pánuco de Coronado,01/01/2022,
020,GRO,Copanatoyac,01/01/2022,
020,GUA,León,01/01/2022,
020,HID,Eloxochitlán,01/01/2022,
020,JAL,Cabo Corrientes,01/01/2022,
020,MEX,Coacalco de Berriozábal,01/01/2022,
020,MIC,Cuitzeo,01/01/2022,
020,MOR,Tepoztlán,01/01/2022,
020,NAY,Bahía de Banderas,01/01/2022,
020,NLE,General Bravo,01/01/2022,
020,OAX,Constancia del Rosario,01/01/2022,
020,PUE,Atoyatempan,01/01/2022,
020,SLP,Matehuala,01/01/2022,
020,SON,Carbó,01/01/2022,
020,TAM,Mainero,01/01/2022,
020,TLA,Sanctórum de Lázaro Cárdenas,01/01/2022,
020,VER,Atlahuilco,01/01/2022,
020,YUC,Chicxulub Pueblo,01/01/2022,
020,ZAC,Jerez,01/01/2022,
021,COA,Nadadores,01/01/2022,
021,CHH,Delicias,01/01/2022,
021,CHP,Copainalá,01/01/2022,
021,DUR,Peñón Blanco,01/01/2022,
021,GRO,Coyuca de Benítez,01/01/2022,
021,GUA,Moroleón,01/01/2022,
021,HID,Emiliano Zapata,01/01/2022,
021,JAL,Casimiro Castillo,01/01/2022,
021,MEX,Coatepec Harinas,01/01/2022,
021,MIC,Charapan,01/01/2022,
021,MOR,Tetecala,01/01/2022,
021,NLE,General Escobedo,01/01/2022,
021,OAX,Cosolapa,01/01/2022,
021,PUE,Atzala,01/01/2022,
021,SLP,Mexquitic de Carmona,01/01/2022,
021,SON,La Colorada,01/01/2022,
021,TAM,El Mante,01/01/2022,
021,TLA,Nanacamilpa de Mariano Arista,01/01/2022,
021,VER,Atoyac,01/01/2022,
021,YUC,Chichimilá,01/01/2022,
021,ZAC,Jiménez del Teul,01/01/2022,
022,COA,Nava,01/01/2022,
022,CHH,Dr. Belisario Domínguez,01/01/2022,
022,CHP,Chalchihuitán,01/01/2022,
022,DUR,Poanas,01/01/2022,
022,GRO,Coyuca de Catalán,01/01/2022,
022,GUA,Ocampo,01/01/2022,
022,HID,Epazoyucan,01/01/2022,
022,JAL,Cihuatlán,01/01/2022,
022,MEX,Cocotitlán,01/01/2022,
022,MIC,Charo,01/01/2022,
022,MOR,Tetela del Volcán,01/01/2022,
022,NLE,General Terán,01/01/2022,
022,OAX,Cosoltepec,01/01/2022,
022,PUE,Atzitzihuacán,01/01/2022,
022,SLP,Moctezuma,01/01/2022,
022,SON,Cucurpe,01/01/2022,
022,TAM,Matamoros,01/01/2022,
022,TLA,Acuamanala de Miguel Hidalgo,01/01/2022,
022,VER,Atzacan,01/01/2022,
