c_Colonia,c_CodigoPostal,Nombre del asentamiento
1,69273,Vista Hermosa Lázaro Cárdenas
1,69292,San Isidro Laguna Seca
1,69300,La Ciénega
1,69548,San Isidro Monteverde
1,69605,Santa Cruz Río Salinas
1,69627,Jazmín Morelos
1,69726,Yosoyuxi Copala
1,69743,Zaragoza Alacranes
1,69795,Lázaro Cárdenas
1,69800,Cañada Alejandro
1,69807,Unión Hidalgo
1,69820,San José
1,69859,San José Yatandoyo
1,69891,Santa Cruz
1,69900,El Nogal
1,69912,Santa Cruz Yodocono
1,69955,San Isidro Trementina
1,69964,Llano de Ayuca
1,69983,San José Río Minas
1,69990,Guadalupe Victoria
1,70023,Santa Cruz de los Pescadores
1,70110,Niza Luba
1,70140,1era. Sección
1,70157,Rodulfo Figueroa
1,70160,Ejidal
1,70170,Tercera Sección
1,70195,El Morro
1,70207,Loma Linda
1,70227,La Estrella
1,70256,San Francisco Jayacaxtepec
1,70287,Cerro Costoche
1,70307,Ferrocarrileros
1,70341,Maluco
1,70366,San Antonio Nuevo Paraíso
1,70382,Chivaniza
1,70400,San Isidro
1,70423,Santiago Ixtaltepec
1,70424,Los Pinos
1,70435,3 de Mayo
1,70703,Playa Azul
1,70705,Villa la Esperanza (Ocotal)
1,70720,Del Carmen (Palo Grande)
1,70778,San Diego
1,70829,La Reforma
1,70864,El Progreso
1,70882,Loma Morillo
1,70900,Barrio Chubasco
1,70924,San Isidro Miramar
1,70946,Progreso Alto
1,70988,La Joya
1,71007,La Quebradora
1,71076,San Martín
1,71091,Santa Ana
1,71125,El Chamizal
1,71223,Alfareros
1,71238,Lázaro Cárdenas del Río
1,71266,Ampliación San Antonio
1,71273,El Paredón
1,71286,La Guadalupe
1,71307,Agua la Avispa
1,71317,Renacimiento
1,71328,Buena Vista
1,71333,Benito Juárez
1,71338,Allende
1,71340,De la Esmeralda
1,71345,El Machín
1,71352,Arroyo del Tecolote
1,71359,Corral de Piedras
1,71366,Agua Ceniza
1,71372,Agua Tierna
1,71376,Baja California
1,71384,Buenavista
1,71388,Barranca Campeche
1,71393,Atotonilco
1,71397,Acahual
1,71409,Acapiztla
1,71425,Agua del Sabino
1,71457,El Carrizal
1,71483,San Ildefonso Viejo
1,71514,San Isidro
1,71523,Jelaro
1,71528,El Llano
1,71540,Guadalupe
1,71543,Los Sarmiento
1,71553,Maguey Largo
1,71597,San Isidro la Cañada
1,71604,Emiliano Zapata
1,71615,La Culebra
1,71671,La Catalina
1,71720,Gigante
1,71747,San Marcos el Coyul
1,71847,La Plata
1,71953,Cañada de Guadalupe
1,71996,Cabo las Olas
1,72000,Centro
1,72733,Bosque Sanctorum
1,72820,Reserva Territorial Atlixcayotl
1,73009,Coyolito (El Coyol)
1,73054,La Gloria
1,73099,Nactanca Chica (La Colonia)
1,73177,Las Flores
1,73300,Toltempan
1,73355,África Vieja
1,73585,El Progreso
1,73798,Villa Montana
1,73887,Santa Rosa
1,74129,San Buenaventura Tecaltzingo
1,74160,Paseo de los Sauces
1,74173,Cháhuac
1,74367,Valle Real
1,74733,Titilintzin
1,75012,Zona Industrial AUDI
1,75083,Guadalupe Camojapa
1,75119,Santa Rosa Ocotitlán
1,75235,El Esfuerzo
1,75393,Emiliano Zapata
1,75420,Hermosillo
1,75827,San Isidro Vista Hermosa
1,75910,San Miguel
1,76000,Centro
1,76246,Parque Tecnológico Innovación Querétaro
1,76495,El Zapote II
1,76568,Tierras Coloradas
1,76610,La Presita
1,76650,San Félix
1,76824,Lomas de la Estancia
1,76906,Punta Esmeralda
1,76950,La Florida
1,77000,Chetumal Centro
1,77130,Chun On
1,77376,San Martiniano
1,77410,La Guadalupana
1,77516,Supermanzana 245
1,77580,Puerto Morelos
1,77670,Las Golondrinas
1,77718,Bali
1,77762,Xul Kaa
1,77883,San Juan Oriente
1,78000,San Luis Potosí Centro
1,78432,Bosques del Márquez
1,78483,El Llanito
1,78508,De Santiago
1,78527,Antigua Guayulera
1,78553,Camposanto
1,78601,La Mantenedora
1,78696,San Rafael
1,78816,Santa Lucía
1,78845,Santa María del Rincón (El Guajolote)
1,78886,Palos Altos
1,78914,Clavellinas
1,78925,San José
1,79224,El Porvenir
1,79246,Camillas
1,79290,Antigua Reforma
1,79305,La Crúz
1,79366,De La Luz
1,79384,Arboledas
1,79483,Jagüey de San Francisco
1,79530,Puente de Tierra
1,79560,Americana
1,79595,Paisanos
1,79625,Santa María de Guadalupe
1,79650,El Manantial
1,79685,El Porvenir
1,79740,San José
1,79786,El Trueno
1,79804,Tancoltze Ojox (Tercera Sección)
1,79813,Anexo Quelabitad Calabazas
1,79930,Lomas de Axtla
1,79957,Cuaxocoyo Uno Limontitla
1,79976,Villa Lolita
1,79990,Pahuayo
1,80000,Centro
1,80347,San Blas
1,80583,Huicharabito
1,80758,El Realito
1,80940,El Zapote de los Gastélum
1,81048,Residencial Campestre
1,81248,Álamo
1,81448,Fernando Irizar López
1,81625,Las Tunas
1,81717,El Altillo
1,81878,16 de Septiembre
1,81985,Gabriel Leyva Velázquez
1,82129,Hacienda del Seminario
1,82457,INFONAVIT Las Flores
1,82685,San Lorenzo
1,82710,Rincón de Ibonía
1,82833,Tablón Dos
1,82960,El Cajón de Piaxtla
1,83000,Hermosillo Centro
1,83376,Campito San Alberto
1,83383,El Chamizal
1,83457,Chula Vista 2 del Parque
1,83577,La Ganadera
1,83680,San Luis
1,84066,Monarca
1,84124,Santa Lucía
1,84160,La Misión Residencial
1,84185,Cerro La Cruz
1,84269,Bicentenario
1,84323,Balcón
1,84393,Basucumachi
1,84415,Juribana
1,84504,La Loma
1,84535,Basuchon
1,84573,Nícora
1,84670,6 de Enero
1,84745,El Álamo
1,84865,Norte
1,85053,Real Campestre
1,85265,Rosario Osuna
1,85287,El Comparto
1,85340,Luis Donaldo Colosio
1,85425,San Gerónimo
1,85515,Doctores
1,85564,Loma Linda
1,85714,Alisoso
1,85734,Basicorepa
1,85835,Residencial La Huerta
1,86000,Portal Del Agua
1,86200,La Hacienda
1,86247,América
1,86340,Bicentenario
1,86417,Benito Juárez 2da. Sección (Monte Alegre)
1,86555,Sección 10 de Azucareros
1,86615,Blancas Mariposas
1,86711,Bayona
1,86785,Los Giles
1,86835,Santo Domingo 1ra. Sección (El Llano)
1,86904,Tenosique 2000
1,86998,La Esperanza
1,87000,Ciudad Victoria Centro
1,87255,San Antonio el Grande
1,87413,Privanzas
1,87505,Hacienda del Valle
1,87690,Las Pilas
1,87713,Tres de Abril (El Tulillo)
1,87760,Tomás Yarrington
1,87790,Campoamor
1,87885,Candelario Reyes (San Miguel)
1,87923,Adolfo López Mateos
1,87949,Las Moras
1,87967,La Joya de Herrera
1,87988,Escondida y Atravesaño (La Escondida)
1,88287,Viviendas Unidas
1,88304,Los Presidentes
1,88444,El Sauz
1,88796,Parque Industrial American Industries Kimco
1,88990,INFONAVIT la Paz
1,89510,Palmas II
1,89636,Miguel Hidalgo
1,89670,Santa Martha
1,89746,López Rayón
1,89956,Nuevo Tantoán
1,90000,Tlaxcala Centro
1,90194,Parque Industrial Xiloxoxtla
1,90354,Villa Santa Clara
1,90435,Xometla
1,90454,Arenal
1,90508,La Palma
1,90754,Domingo Arenas
1,90877,Zacatecoma
1,91000,Xalapa Enríquez Centro
1,91249,Tlacuilolan
1,91254,El Arenal
1,91260,San Antonio Xoquitla
1,91302,Unidad y Trabajo
1,91373,Los Planes (Cerro Gordo)
1,91394,Linderos
1,91406,Palo Blanco
1,91444,Puente Colgante
1,91463,Las Casillas
1,91482,Mata de Caña
1,91540,Santa Rosa
1,91625,Nuevo (Amatitla)
1,91630,Del Maestro
1,91647,Baños (El Bejuco)
1,91659,Casa Blanca
1,91663,4 de Octubre
1,91672,Mata Grande
1,91698,Los Torrentes Aeropuerto
