c_CodigoPostal,c_Estado,c_Municipio,c_Localidad,Estímulo Franja Fronteriza,Fecha inicio de vigencia ,Fecha fin de vigencia ,Descripción del Huso Horario,Mes_Inicio_Horario_Verano,Día_Inicio_Horario_Verano,Día_Inicio_Horario_Verano,Diferencia_Horaria_Verano,Mes_Inicio_Horario_Invierno,Día_Inicio_Horario_Invierno,Día_Inicio_Horario_Invierno,Diferencia_Horaria_Invierno
20120,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20121,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20122,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20123,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20124,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20125,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20126,AGU,001,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20127,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20128,AGU,001,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20129,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20130,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20131,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20132,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20133,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20134,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20135,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20136,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20137,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20138,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20139,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20140,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20141,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20142,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20143,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20144,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20145,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20146,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20147,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20148,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20149,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20150,AGU,001,01,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20151,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
20152,AGU,,,0,07/01/2019,,Tiempo del Centro,,,,-6,,,,-6
